x,y,token
-40.10268,-49.728203,Weston
-35.156555,-11.332346,man
-20.415855,-44.488094,unexceptionable
-19.419537,-47.656178,character
-1.2156311,-39.205585,easy
-21.458368,-44.581867,fortune
-20.30968,-44.491734,suitable
-3.2344153,-27.843554,age
17.308453,8.33512,pleasant
-19.329502,-48.010834,manners
-48.799164,6.688287,there
-25.111168,-52.4239,satisfaction
-14.55079,-41.995106,considering
-19.56116,-39.767773,self
-17.453423,-50.23798,denying
-13.575209,-44.642197,generous
-20.430014,-51.43531,friendship
3.78464,-37.95847,always
-11.773735,-52.306774,wished
-13.845854,-36.011898,promoted
-2.2081695,-46.362743,match
-28.322126,46.30985,black
-44.403645,-38.51667,morning
12.189548,23.224749,work
10.414641,-43.824696,want
12.73772,-49.749386,would
6.6013465,-33.74152,be
-35.50151,-27.166712,felt
-9.417284,-23.785162,hour
-27.515644,-29.479645,recalled
12.5563345,-8.135738,past
-22.572004,-52.882103,kindness
26.19016,50.91749,sixteen
13.574852,-31.96133,how
41.338394,12.501159,taught
-34.064045,-25.686245,played
25.93805,52.162346,five
-36.75738,14.613258,old
-13.0009775,-36.362846,devoted
-17.097174,-38.315144,powers
-10.757811,-52.77493,attach
-7.8397393,-40.605133,amuse
-22.08943,-43.42279,health
-15.844983,-33.44381,nursed
-28.874758,34.655926,through
-15.743791,-12.208714,various
-25.750616,-27.968094,childhood
10.776496,-21.899744,A
-35.462597,10.259148,large
-16.87208,-33.635887,debt
-24.080532,-52.400333,gratitude
-21.071285,-39.97495,owing
16.586464,-34.39202,here
-24.655514,-42.001625,intercourse
-32.214657,-13.839816,last
25.451378,51.776855,seven
-18.573956,-48.664093,equal
-24.40605,-40.681652,footing
26.68716,-4.379943,perfect
-23.819387,-46.426853,unreserve
0.13805626,-41.01019,soon
38.642735,24.115635,followed
-37.08911,-45.59086,Isabella
-24.003454,24.511013,their
-29.951271,3.0016692,each
-30.089983,3.028688,other
9.670828,-13.766712,yet
-4.5549874,-40.20099,dearer
-29.48995,-53.04572,recollection
-37.19114,-25.868584,companion
-11.869444,-15.6155,such
-42.36603,-25.307919,few
35.77355,21.498222,possessed
44.391598,1.3274399,:
-13.001692,-42.83115,intelligent
-32.680668,-42.859512,informed
-16.154129,-51.185093,useful
-7.178689,-46.271545,knowing
28.915913,-2.3815553,ways
-14.49074,-51.541397,interested
-19.287659,31.970512,its
-22.86851,-45.150238,concerns
-21.313787,-46.53498,peculiarly
-22.636774,-56.002007,pleasure
-20.942438,-42.948677,scheme
-15.502737,-50.35561,hers
37.2074,10.703158,whom
12.742174,-49.84034,could
29.320055,-37.599472,speak
44.70212,31.108393,arose
2.8498785,-37.914825,never
10.600202,-45.435493,find
2.8365884,-46.704903,fault
13.739128,-31.850485,How
29.42212,-6.803396,bear
-4.010933,-54.80632,change
14.742362,-36.484467,?--
12.871167,-30.33872,true
0.40000764,-28.010489,going
-18.339273,3.4660668,half
-49.795326,11.649707,mile
-45.333107,-1.9245234,them
-8.071673,-50.322784,aware
-38.116646,-1.1353984,great
12.560292,-47.84491,must
-16.33518,-51.84621,difference
-3.7910817,2.9504402,between
-40.468422,-48.87976,Mrs
-21.061,-47.408222,advantages
-12.416315,-46.10315,natural
-20.975449,-47.15841,domestic
-21.769934,-57.936348,suffering
-15.543028,-38.865623,intellectual
-29.721333,-35.99322,solitude
28.734522,-4.180654,dearly
21.97088,-40.03931,loved
-46.26209,-2.4722352,he
-46.25106,-2.5065022,He
33.071564,-10.664779,meet
-26.522003,-52.02032,conversation
-18.708904,-48.35397,rational
-36.597725,-18.630959,playful
31.925713,4.7479434,evil
-20.872362,-37.71674,actual
-2.8725815,-34.731815,disparity
3.956321,13.213018,ages
32.35586,-41.22431,(
32.36903,-41.178917,)
-28.673828,-41.108944,increased
-23.407654,-43.817085,constitution
-21.18265,-47.379772,habits
26.197113,-3.7705944,life
-14.124923,-32.07382,without
-20.950268,-46.607033,activity
-15.179357,-55.386433,mind
12.888378,-17.582,body
-2.584946,-34.130978,older
-16.476667,-20.764017,though
-8.133461,-11.297669,everywhere
-23.907661,-40.384983,friendliness
24.61506,5.149227,heart
-14.783452,-47.701344,amiable
23.122063,48.217937,talents
-29.186388,-44.04173,recommended
-45.41193,-2.0141408,him
-48.40431,-29.601341,time
-27.083326,6.305738,comparatively
39.296204,30.239506,removed
-1.2372261,-49.23552,matrimony
-37.264656,-39.50907,settled
-38.227665,-34.995785,London
-38.545425,45.69585,miles
-54.077152,22.92662,off
-35.79442,-33.839943,beyond
21.698967,-0.2526518,daily
-9.445705,4.4179726,reach
33.5904,-49.444668,October
33.59783,-49.455677,November
-34.11307,-24.316269,struggled
-38.629326,-40.804176,Hartfield
5.1914268,-30.240425,Christmas
1.8065261,-26.633621,next
-37.44638,-41.522808,visit
60.007633,16.240702,husband
50.697784,28.33633,children
15.89222,-10.138919,fill
22.649363,-31.72626,give
-19.20966,-46.470848,society
-53.628864,14.722559,again
-38.517498,-40.889156,Highbury
-6.2380204,44.471848,populous
-29.624702,-1.6889554,village
-45.79021,13.32175,almost
-39.90422,-37.57886,town
-25.974361,-43.4722,spite
-18.021894,-24.713821,separate
-35.751133,31.248589,lawn
-9.593634,-25.080236,shrubberies
48.300854,19.470524,name
